Italian,Polish
sono,Ja jestem
io,I
il suo,jego
che,że
lui,on
era,był
per,dla
su,na 
come,Jak
con,z
loro,Oni
essere,być
a,do
uno,jeden
avere,mieć
questo,ten
da,od
di,Z
caldo,gorący
parola,słowo
ma,ale
cosa,Co
alcuni,niektóre
è,jest
quello,że
voi,ty
o,lub
aveva,miał
il,.
di,Z
a,do
e,I
un,a
in,w
noi,my
lattina,puszka puszka
fuori,na zewnątrz
altro,inny
erano,byli
che / quale,co / który
fare,Do
loro,Oni
tempo,pogoda
se,samego siebie
volontà,Wola
come,Jak
detto,powiedział
un,a
ogni,Wszystko w porządku
dire,powiedzieć
fa,czy
fisso,naprawił
tre,trzy
desiderare,pragnienie
aria,powietrze
bene,dobrze
anche,także
giocare,grać
piccolo,mały
fine,kończyć się
mettere,położyć
casa,Dom
leggere,czytać
mano,ale nie
portare,przynieść
grande,wspaniały
compitare,zaklęcie
aggiungere,dodać
anche,także
terra,Ziemia
qui,tutaj
devo,muszę
grande,wspaniały
alto,wysoki
tale,taki
seguire,śledzić
atto,działać
perché,dlatego
chiedere,zapytać się
maschi,mężczyzna
cambiamento,zmiana
è andato,On odszedł
luce,światło
tipo,chłopak
spento,zużyte
bisogno,potrzebować
casa,Dom
immagine,obraz
provare,próbować
noi,my
di nuovo,Ponownie
animale,zwierzę
punto,punkt
madre,matka
mondo,świat
vicino,Blisko
costruire,budować
se stesso,samego siebie
terra,Ziemia
padre,ojciec
qualsiasi,każdy
nuovo,Nowy
lavoro,praca
parte,część
prendere,brać
ottenere,otrzymać
posto,miejsce
fatto,gotowy
vivere,żyć
dove,gdzie to jest
dopo,po
indietro,wstecz
poco,mały
solo,sam
turno,Zmiana
uomo,Człowiek
anno,rok
è venuto,To przyszło
spettacolo,pokazać
ogni,Wszystko w porządku
buono,dobry
me,siebie
dare,dawać
il nostro,nasz
sotto,pod 
nome,Imię
molto,bardzo
attraverso,poprzez
solo,sam
forma,Formularz
frase,wyrażenie
grande,wspaniały
pensare,myśleć
dire,powiedzieć
aiutare,pomóc
basso,niski
linea,linia
differire,różnić się
turno,Zmiana
causa,przyczyna
molto,bardzo
dire,powiedzieć
prima,pierwszy
spostare,ruszaj się
diritto,prawidłowy
ragazzo,chłopak
vecchio,stary
troppo,także
stesso,to samo
lei,Ona
tutto,wszystko
ci,tam
quando,gdy
su,na 
uso,posługiwać się
il tuo,twój
modo,droga
circa,o
molti,wiele
allora,W tym czasie
loro,Oni
scrivere,pisać
sarebbe,byłoby
come,Jak
così,lubię to
queste,te
lei,Ona
lungo,długi
rendere,dawać
cosa,Co
vedere,Widzieć
lui,on
due,dwa
ha,ma
guardare,oglądać
di più,Ponadto
giorno,dzień
potuto,mógłby
andare,iść
venire,przyjść
ha fatto,zrobił
numero,numer
suono,dźwięk
no,nie
più,jeszcze
persone,ludzie
il mio,mój
oltre,poza
sapere,wiedzieć
acqua,woda
di,Z
chiamata,dzwonić
primo,pierwszy
che,że
può,mogą  
giù,poniżej
lato,strona
stato,państwo
ora,Ale już
trovare,odnaleźć
testa,głowa
stare in piedi,na stojąco
proprio,własny
pagina,strona
